"","Category","Technology","Frequency"
"1","Document management software","Acrobat",4
"2","Expert system software","Ansible",3
"3","Computer aided design CAD software","AutoCAD",3
"4","Accounting software","Bookkeeping",1
"5","Object software","C#",34
"6","Object software","C++",7
"7","Web platform development software","Django",2
"8","Application server software","Docker",31
"9","Data base software","Elasticsearch",3
"10","Web page creation and editing software","Facebook",1
"11","File versioning software","Git",6
"12","Development environment software","Go",2
"13","Data base software","Google Analytics",2
"14","Access software","IAM",17
"15","Operating system software","IOS",2
"16","Object software","Java",56
"17","Development environment software","Kafka",10
"18","Web page creation and editing software","LinkedIn",1
"19","Operating system software","Linux",36
"20","Analytical or scientific software","MATLAB",4
"21","Data base software","MongoDB",5
"22","Enterprise resource planning ERP software","MS Dynamics",2
"23","Office suite software","MS Office",10
"24","Electronic mail software","Outlook",1
"25","Enterprise resource planning ERP software","PeopleSoft",1
"26","Enterprise resource planning ERP software","Phoenix",18
"27","Object software","PostgreSQL",17
"28","Object software","Python",218
"29","Accounting software","QuickBooks",4
"30","Object software","R",27
"31","Data base software","Redshift",4
"32","Development environment software","Ruby",9
"33","Object software","Scala",34
"34","Data base software","SharePoint",17
"35","Computer aided design CAD software","SolidWorks",2
"36","Web platform development software","Spring Framework",2
"37","Data base software","SQL",155
"38","Development environment software","SQL Developer",1
"39","Data base software","SQL Server",12
"40","Enterprise resource planning ERP software","SSIS",6
"41","Business intelligence and data analysis software","Tableau",21
"42","Web platform development software","Tomcat",1
"43","Instant messaging software","Twitter",1
"44","Operating system software","UNIX",12
"45","Process mapping and design software","Visio",10
"46","Configuration management software","VMware",23
"47","Operating system software","Windows",51
"48","Network monitoring software","Wireshark",2
"49","Enterprise resource planning ERP software","XML",2
"50","Data base software","Yardi",4
